id,start,end,text,file
0,0.0,5.6000000000000005," In today's video, we will learn how audio, video and media elements are used in HTML.","10 _Video, Audio & Media in HTML .mp3.json"
1,5.6000000000000005,10.56," In our very first video, we saw that we can embed videos in HTML.","10 _Video, Audio & Media in HTML .mp3.json"
2,10.56,13.32," Today I will tell you how the video is auto-played,","10 _Video, Audio & Media in HTML .mp3.json"
3,13.32,15.44," how to keep a muted video,","10 _Video, Audio & Media in HTML .mp3.json"
4,15.44,19.88, and how you can enable and disable the video controls.,"10 _Video, Audio & Media in HTML .mp3.json"
5,19.88,22.52," Along with that, we will also see very closely about audio,","10 _Video, Audio & Media in HTML .mp3.json"
6,22.52,25.52, how media can be shown in an overall page.,"10 _Video, Audio & Media in HTML .mp3.json"
7,25.52,28.52, So do like this video and stay in this video,"10 _Video, Audio & Media in HTML .mp3.json"
8,28.52,32.68, because the examples I have used for video tags are very amazing.,"10 _Video, Audio & Media in HTML .mp3.json"
9,32.68,33.96, Let's go to the video screen.,"10 _Video, Audio & Media in HTML .mp3.json"
10,33.96,35.2, Let's roll the intro.,"10 _Video, Audio & Media in HTML .mp3.json"
11,35.2,44.2, Intro,"10 _Video, Audio & Media in HTML .mp3.json"
12,44.2,47.120000000000005," Friends, this time I have made a folder named video10.","10 _Video, Audio & Media in HTML .mp3.json"
13,47.120000000000005,51.760000000000005, I will not waste your time by opening the open with code by right-clicking and shifting.,"10 _Video, Audio & Media in HTML .mp3.json"
14,51.760000000000005,53.92," In fact, I will make it in index.html.","10 _Video, Audio & Media in HTML .mp3.json"
15,53.92,56.879999999999995, And the topic of today's video is video.,"10 _Video, Audio & Media in HTML .mp3.json"
16,56.88,62.480000000000004," How to play a video, how to put a video in an HTML file,","10 _Video, Audio & Media in HTML .mp3.json"
17,62.480000000000004,66.04," how to put audio, how to put media.","10 _Video, Audio & Media in HTML .mp3.json"
18,66.04,68.56, So adding a video is very straightforward.,"10 _Video, Audio & Media in HTML .mp3.json"
19,68.56,71.96000000000001," I will copy it here, which is our video tag.","10 _Video, Audio & Media in HTML .mp3.json"
20,71.96000000000001,75.56, It has an src attribute and it has some other attributes,"10 _Video, Audio & Media in HTML .mp3.json"
21,75.56,77.12, about which I will discuss with you.,"10 _Video, Audio & Media in HTML .mp3.json"
22,77.12,80.48," But first of all, I want to tell you here that video src is equal to","10 _Video, Audio & Media in HTML .mp3.json"
23,80.48,84.48," you will write here, so if you have video.mp4, it will play.","10 _Video, Audio & Media in HTML .mp3.json"
24,84.48,85.92, I have video.mp4.,"10 _Video, Audio & Media in HTML .mp3.json"
25,85.96000000000001,88.64," So let's see here, I have put it here with control.","10 _Video, Audio & Media in HTML .mp3.json"
26,88.64,90.84, And I will click here and preview it.,"10 _Video, Audio & Media in HTML .mp3.json"
